 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),      Illu%,  ObsSub-LON, ObsSub-LAT,  SunSub-LON, SunSub-LAT,    NP.ang,  NP.dist,     S-T-O,
***********************************************************************************************************************************************
$$SOE
 2052-Jan-04 21:00, , , 21 10 05.85, -11 40 53.7,    8.20744,  355.112594,  -5.799397,  142.015919,   1.521070,  341.9912, -929.563,  146.7094,
 2052-Jan-04 22:00, , , 21 12 16.71, -11 32 25.2,    8.45076,  355.118042,  -5.769417,  141.508295,   1.520979,  341.8279, -929.931,  146.2048,
 2052-Jan-04 23:00, , , 21 14 27.52, -11 23 52.8,    8.69755,  355.123769,  -5.738875,  141.000679,   1.520887,  341.6662, -930.299,  145.6997,
 2052-Jan-05 00:00, , , 21 16 38.28, -11 15 16.4,    8.94778,  355.129773,  -5.707773,  140.493069,   1.520796,  341.5061, -930.668,  145.1942,
 2052-Jan-05 01:00, , , 21 18 48.99, -11 06 36.2,    9.20145,  355.136053,  -5.676113,  139.985467,   1.520705,  341.3477, -931.036,  144.6882,
 2052-Jan-05 02:00, , , 21 20 59.65, -10 57 52.2,    9.45854,  355.142606,  -5.643897,  139.477871,   1.520614,  341.1910, -931.405,  144.1817,
 2052-Jan-05 03:00, , , 21 23 10.25, -10 49 04.5,    9.71904,  355.149432,  -5.611128,  138.970283,   1.520523,  341.0361, -931.774,  143.6747,
 2052-Jan-05 04:00, , , 21 25 20.81, -10 40 13.0,    9.98293,  355.156529,  -5.577807,  138.462701,   1.520432,  340.8828, -932.142,  143.1673,
 2052-Jan-05 05:00, , , 21 27 31.32, -10 31 17.8,   10.25019,  355.163894,  -5.543938,  137.955128,   1.520342,  340.7312, -932.511,  142.6595,
 2052-Jan-05 06:00, , , 21 29 41.78, -10 22 19.0,   10.52082,  355.171528,  -5.509521,  137.447562,   1.520251,  340.5815, -932.880,  142.1512,
 2052-Jan-05 07:00, , , 21 31 52.19, -10 13 16.6,   10.79478,  355.179427,  -5.474561,  136.940003,   1.520161,  340.4334, -933.249,  141.6424,
 2052-Jan-05 08:00, , , 21 34 02.56, -10 04 10.6,   11.07208,  355.187591,  -5.439060,  136.432452,   1.520072,  340.2872, -933.617,  141.1333,
 2052-Jan-05 09:00, , , 21 36 12.88, -09 55 01.2,   11.35268,  355.196018,  -5.403019,  135.924908,   1.519982,  340.1427, -933.986,  140.6237,
 2052-Jan-05 10:00, , , 21 38 23.16, -09 45 48.3,   11.63658,  355.204706,  -5.366442,  135.417373,   1.519893,  340.0000, -934.354,  140.1136,
 2052-Jan-05 11:00, , , 21 40 33.40, -09 36 32.1,   11.92375,  355.213655,  -5.329332,  134.909845,   1.519804,  339.8591, -934.723,  139.6032,
 2052-Jan-05 12:00, , , 21 42 43.59, -09 27 12.4,   12.21418,  355.222863,  -5.291691,  134.402326,   1.519716,  339.7201, -935.091,  139.0924,
 2052-Jan-05 13:00, , , 21 44 53.74, -09 17 49.5,   12.50785,  355.232329,  -5.253522,  133.894814,   1.519628,  339.5829, -935.459,  138.5811,
 2052-Jan-05 14:00, , , 21 47 03.85, -09 08 23.4,   12.80474,  355.242051,  -5.214829,  133.387311,   1.519541,  339.4476, -935.827,  138.0694,
 2052-Jan-05 15:00, , , 21 49 13.91, -08 58 54.0,   13.10483,  355.252028,  -5.175613,  132.879816,   1.519454,  339.3141, -936.194,  137.5574,
 2052-Jan-05 16:00, , , 21 51 23.95, -08 49 21.5,   13.40810,  355.262259,  -5.135879,  132.372329,   1.519367,  339.1825, -936.561,  137.0449,
 2052-Jan-05 17:00, , , 21 53 33.94, -08 39 45.8,   13.71453,  355.272743,  -5.095628,  131.864851,   1.519281,  339.0528, -936.929,  136.5321,
 2052-Jan-05 18:00, , , 21 55 43.90, -08 30 07.1,   14.02411,  355.283478,  -5.054865,  131.357381,   1.519196,  338.9250, -937.295,  136.0188,
 2052-Jan-05 19:00, , , 21 57 53.82, -08 20 25.4,   14.33681,  355.294464,  -5.013593,  130.849919,   1.519111,  338.7991, -937.662,  135.5052,
 2052-Jan-05 20:00, , , 22 00 03.72, -08 10 40.8,   14.65261,  355.305700,  -4.971815,  130.342467,   1.519027,  338.6751, -938.028,  134.9912,
 2052-Jan-05 21:00, , , 22 02 13.58, -08 00 53.2,   14.97149,  355.317184,  -4.929534,  129.835023,   1.518944,  338.5531, -938.393,  134.4768,
 2052-Jan-05 22:00, , , 22 04 23.41, -07 51 02.8,   15.29343,  355.328915,  -4.886753,  129.327588,   1.518861,  338.4330, -938.759,  133.9621,
 2052-Jan-05 23:00, , , 22 06 33.21, -07 41 09.6,   15.61840,  355.340893,  -4.843477,  128.820162,   1.518779,  338.3149, -939.123,  133.4469,
 2052-Jan-06 00:00, , , 22 08 42.98, -07 31 13.6,   15.94639,  355.353117,  -4.799708,  128.312745,   1.518697,  338.1987, -939.488,  132.9314,
 2052-Jan-06 01:00, , , 22 10 52.73, -07 21 15.0,   16.27738,  355.365586,  -4.755450,  127.805337,   1.518617,  338.0845, -939.852,  132.4155,
 2052-Jan-06 02:00, , , 22 13 02.46, -07 11 13.6,   16.61133,  355.378298,  -4.710708,  127.297938,   1.518537,  337.9724, -940.215,  131.8993,
 2052-Jan-06 03:00, , , 22 15 12.16, -07 01 09.7,   16.94823,  355.391254,  -4.665483,  126.790549,   1.518458,  337.8622, -940.578,  131.3827,
 2052-Jan-06 04:00, , , 22 17 21.84, -06 51 03.3,   17.28806,  355.404452,  -4.619782,  126.283168,   1.518380,  337.7541, -940.940,  130.8657,
 2052-Jan-06 05:00, , , 22 19 31.50, -06 40 54.3,   17.63078,  355.417892,  -4.573606,  125.775797,   1.518302,  337.6480, -941.302,  130.3484,
